residence_name,council_id
KANUNI,2525
MATOKEO,2525
MABIBO,2525
MABIBO FARASI,2525
JITEGEMEE,2525
KIGOGO KATI,2525
KIGOGO MKWAJUNI,2525
KIGOGO MBUYUNI,2525
KWA JONGO,2525
KIMAMBA,2525
KILIMAHEWA,2525
KAGERA,2525
MIANZINI,2525
SISI KWA SISI,2525
NATIONAL HOUSING CORP.,2525
BARAFU,2525
KISIWANI,2525
"SINZA ""A""",2525
"SINZA ""B""",2525
"SINZA ""C""",2525
"SINZA ""D""",2525
"SINZA ""E""",2525
MIDIZINI,2525
MUUNGANO,2525
KILIMANI,2525
TUPENDANE,2525
MVULENI,2525
MWEMBENI,2525
CHAKULA BORA,2525
MNAZI MMOJA,2525
MFEREJINI,2525
UZURI,2525
MAKANYA,2525
MPAKANI,2525
MIKORISHINI,2525
VIGAENI,2525
MBWENI,2525
TETA,2525
MALINDI ESTATE,2525
MPIJI MBWENI,2525
MAPUTO,2525
MPIJI MAGOHE,2525
MSUMI,2525
MSAKUZI,2525
MSAKUZI KUSINI,2525
MAKABE,2525
LUIS,2525
MBEZI LUIS,2525
MSHIKAMANO,2525
TEMBONI,2525
MSINGWA,2525
MALAMBA MAWILI,2525
KWA YUSSUFU,2525
MSIGANI,2525
KWEMBE,2525
MPAKANI,2525
NJETENI,2525
"KING""AZI",2525
"KING""AZI B",2525
LUGURUNI,2525
MJIMPYA,2525
MSAKUZI,2525
KISOPWA,2525
MLONGAZILA,2525
KIBAMBA,2525
HONDOGO,2525
KIBWEGERE,2525
KILUVYA,2525
GOGONI,2525
GOBA,2525
KINZUDI,2525
KUNGURU,2525
KIBULULU,2525
TEGETA A,2525
MUUNGANO,2525
MATOSA,2525
KULANGWA,2525
MTONGANI,2660
TAMBUKARELI,2660
MTONI UNGUJA,2660
AZIMIO KASKAZINI,2660
MBUYUNI,2660
AZIMIO KUSINI,2660
KICHANGANI,2660
MJIMPYA,2660
TOROLI,2660
BORA,2660
"CHANG""OMBE ""A""",2660
"CHANG""OMBE ""B""",2660
"KEKO ""B""",2660
"KEKO MWANGA ""A""",2660
"KEKO MWANGA ""B""",2660
"KEKO MAGURUMBASI ""A""",2660
"KEKO MAGURUMBASI ""B""",2660
SHIMO LA UDONGO,2660
KURASINI,2660
